OrderID,Date,Country,City,Latitude,Longtitude,ProductCategoryName,ProductID,Product,Quantity,Discount,Price,Status
order-9dd87a4c-7374-446a-845b-37fa211c121a,2019/2/8,Belgium,Brussels,50.850346,4.351721,Brogues,product-124ef52a-c7c3-48af-b315-33a14b2f6e1d,François,7,3.96,41.45,COMPLETED
order-47acd540-c1dd-47a8-a5dc-39cee5c43a5e,2019/3/10,Belgium,Brussels,50.850346,4.351721,Brogues,product-a19d1434-d5f2-4a2a-9fe0-7d70f63e391e,Denis,9,1.42,58.95,COMPLETED
order-fd686823-060b-4d59-bd0a-512f87eb6654,2019/4/10,Belgium,Brussels,50.850346,4.351721,Flats,product-0a97c64c-582b-41a9-b367-2a4e081cf3d5,Estelle,5,2.14,45.61,COMPLETED
order-6e3e2947-bf9c-4993-9215-307d1a61cf92,2019/5/24,Belgium,Brussels,50.850346,4.351721,Platforms,product-642f72ba-c5d6-4126-be0f-a22fe4e9fbb6,Bella,8,4.55,46.93,COMPLETED
order-28117cd2-a47e-42ef-a619-fe52ec2cd7b2,2019/6/22,Belgium,Brussels,50.850346,4.351721,Stilettos,product-fa4a41fc-4a31-44b5-953f-8e2a45b43673,Cecile,4,3.92,78.56,COMPLETED
order-194b59a0-c5c6-43b5-a07f-b2ce252b5d08,2019/6/21,Belgium,Brussels,50.850346,4.351721,Brogues,product-20700833-fc84-4340-9a59-669fe6acc94b,Antoine,5,3.17,45.95,COMPLETED
order-18dd7882-6ffc-4bef-9b18-a753a102389e,2019/7/17,Belgium,Brussels,50.850346,4.351721,Platforms,product-642f72ba-c5d6-4126-be0f-a22fe4e9fbb6,Bella,10,3.81,46.93,COMPLETED
order-b3bcc729-fa5b-4528-a806-b1e9ea8ea36e,2019/7/15,Belgium,Brussels,50.850346,4.351721,Stilettos,product-f7e07591-2598-4615-82c2-34f6ad248e50,Eloise,1,4.44,80.95,COMPLETED
order-545bdd91-d0d8-4dda-b20d-84b74941d432,2019/8/2,Belgium,Brussels,50.850346,4.351721,Platforms,product-642f72ba-c5d6-4126-be0f-a22fe4e9fbb6,Bella,6,3.75,46.93,COMPLETED
order-a1597df7-003d-486f-9b42-3640b1b70c74,2019/8/10,Belgium,Brussels,50.850346,4.351721,Platforms,product-642f72ba-c5d6-4126-be0f-a22fe4e9fbb6,Bella,7,0.94,46.93,COMPLETED
order-c550363c-4f0c-487a-845f-e61ca707ee8c,2019/8/13,Belgium,Brussels,50.850346,4.351721,Platforms,product-642f72ba-c5d6-4126-be0f-a22fe4e9fbb6,Bella,8,0.59,46.93,COMPLETED
order-db9cc07b-e0f0-4fe4-814a-1356d7e9200a,2019/9/5,Belgium,Brussels,50.850346,4.351721,Platforms,product-642f72ba-c5d6-4126-be0f-a22fe4e9fbb6,Bella,4,4.03,46.93,COMPLETED
order-064459d9-d81d-4410-9320-8097de3804e1,2019/9/15,Belgium,Brussels,50.850346,4.351721,Flats,product-f709c12a-ffe5-48b1-a3d2-f247acf8e176,Danielle,7,0.18,36.46,COMPLETED
order-568f8952-7d16-48e7-b5a6-31acf4c6c807,2019/9/20,Belgium,Brussels,50.850346,4.351721,Platforms,product-642f72ba-c5d6-4126-be0f-a22fe4e9fbb6,Bella,10,0.05,46.93,COMPLETED
order-d47b5713-c47a-4b9f-8efb-a72049ee68e3,2019/10/23,Belgium,Brussels,50.850346,4.351721,Stilettos,product-f7e07591-2598-4615-82c2-34f6ad248e50,Eloise,9,3.52,80.95,COMPLETED
order-507c6ac6-61a0-436c-b23e-a02501760160,2019/10/3,Belgium,Brussels,50.850346,4.351721,Platforms,product-98f22154-ee97-4ef8-be84-7283cec0ebad,Bridgette,4,1.53,39.95,COMPLETED
order-6202751c-84c5-4a7c-971b-b4a93448544a,2019/10/9,Belgium,Brussels,50.850346,4.351721,Brogues,product-124ef52a-c7c3-48af-b315-33a14b2f6e1d,François,1,0.48,41.45,COMPLETED
order-83793c24-d3ae-4591-8467-575e45e471a7,2019/10/6,Belgium,Brussels,50.850346,4.351721,Flats,product-f709c12a-ffe5-48b1-a3d2-f247acf8e176,Danielle,6,1.42,36.46,COMPLETED
order-240e777e-f086-4516-86ed-8dc58dcba64e,2019/11/15,Belgium,Brussels,50.850346,4.351721,Brogues,product-a19d1434-d5f2-4a2a-9fe0-7d70f63e391e,Denis,7,3.3,58.95,COMPLETED
order-1c4efbf8-e41f-44a5-ba63-b6eb72c780ef,2019/11/4,Belgium,Brussels,50.850346,4.351721,Stilettos,product-fa4a41fc-4a31-44b5-953f-8e2a45b43673,Cecile,1,3.07,78.56,COMPLETED
order-325d4b97-6be3-452b-8b60-fc17c29f2b72,2019/11/11,Belgium,Brussels,50.850346,4.351721,Brogues,product-124ef52a-c7c3-48af-b315-33a14b2f6e1d,François,10,0.77,41.45,COMPLETED
order-c3f324d3-bcdf-4ad1-a2a7-1975b9ca02f6,2019/11/2,Belgium,Brussels,50.850346,4.351721,Brogues,product-a19d1434-d5f2-4a2a-9fe0-7d70f63e391e,Denis,4,0.55,58.95,COMPLETED
order-c9c25bf9-cf51-4cd0-a655-2b5f271d0359,2019/11/1,Belgium,Brussels,50.850346,4.351721,Flats,product-f709c12a-ffe5-48b1-a3d2-f247acf8e176,Danielle,9,0.6,36.46,COMPLETED
order-5308350c-50c8-4846-80d4-42c10f918405,2019/12/5,Belgium,Brussels,50.850346,4.351721,Stilettos,product-fa4a41fc-4a31-44b5-953f-8e2a45b43673,Cecile,5,5.09,78.56,COMPLETED
order-091589be-fa45-4246-9cc5-15be57f4e744,2019/12/12,Belgium,Brussels,50.850346,4.351721,Brogues,product-a19d1434-d5f2-4a2a-9fe0-7d70f63e391e,Denis,6,2.55,58.95,COMPLETED
order-4ae44829-ff36-4a41-828d-a6e27082faed,2019/12/9,Belgium,Brussels,50.850346,4.351721,Stilettos,product-f7e07591-2598-4615-82c2-34f6ad248e50,Eloise,4,6.03,80.95,COMPLETED
